course_id;course_name;professor;department;semester;days;time;description
LING  73B 001;Beginning American Sign Language II;Bottoms;Linguistics;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:15am;This course is the second part of the beginning sequence of American Sign Language, an introduction to the language and linguistic structure of American Sign Language and to Deaf culture for students with no prior experience. Focus will be on gaining a foundation for later fluency and understanding the role of ASL in Deaf history, current culture, education, bilingualism, and research.
CLASSIC  93;Advanced Tutorial for Credit;Hudson;Classics, The;2021 Fall;[];-  TBA;Tutorial instruction for course credit open to candidates for honors who are qualified to do special reading projects in Greek and/or Latin.
EXPOS  20 204;Expository Writing 20;Brown;Expository Writing;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:15am;An intensive seminar that aims to improve each student’s ability to discover and reason about evidence through the medium of essays. Each section focuses on a particular theme or topic, described on the Expos Website. All sections give students practice in formulating questions, analyzing both primary and secondary sources and properly acknowledging them, supporting arguments with strong and detailed evidence, and shaping clear, lively essays. All sections emphasize revision.
GOV  94RG;A Revolt against Globalization? How Political Economies Change;Hall;Government;2021 Fall;"[{""days"":""M""}]";3:00pm -  5:45pm;What drives the social and economic policies of the developed democracies?  Is the current wave of populism a revolt against globalization?  This course explores changes in the growth strategies pursued by the OECD countries since 1945 and the developments in electoral and producer group politics that drive them across different varieties of capitalism, including contemporary debates about the crises of capitalism and democracy.
GREEK  10;Introduction to Ancient Greek Literature;Livingston;Classics, The;2022 Spring;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";9:00am -  10:15am;Greek 10 offers close reading and analysis of Greek literary texts, both prose and poetry, beginning at an intermediate pace. Participants will improve their reading proficiency while developing an appreciation for features of style, genre, and meter.
HISTSCI  91R;Supervised Reading and Research;Harrington;History of Science;2022 Spring;[];-  TBA;Programs of directed reading and research to be conducted by a person approved by the Department.
GERMAN  90R 003;Germanic Language Tutorial: Dutch;Parkes;Germanic Languages & Lit;2022 Spring;[];-  TBA;Individualized study of a Germanic language not ordinarily taught. Contact hours with language tutor. Emphasis on literacy.
FRSEMR  71D;Zen and the Art of Living: Making the Ordinary Extraordinary;Robson;Freshman Seminars;2022 Spring;"[{""days"":""Th""}]";3:00pm -  5:00pm;This seminar explores the rich history, philosophy and practices of Zen Buddhism as it developed in China, Korea, and Japan. We will first consider the emergence of the Zen tradition out of the Buddhist tradition and then explore the full range of its most distinctive features (Zen monastic meditation), cultural practices (painting, calligraphy, and poetry), and radical—even iconoclastic—innovations (such as the use of kōans, which are seemingly nonsensical sayings that defy rational
SOCIOL  90W;Research Lab: Work and Family in the 21st Century;Brinton;Sociology;2022 Spring;"[{""days"":""W""}]";9:45am -  11:45am;Students will read articles about the different ways that highly-educated young people in three societies make decisions about marriage, work, and children, and will then learn to analyze in-depth interview materials on these topics.The three societies are the U.S., Japan, and Sweden, all of which have different social policies and gender-role ideologies. Students will develop a research question that can be addressed by comparing the interview data from at least two of these countries, and will
EXPOS  20 ES13;Expository Writing 20;Zecca;Expository Writing;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;An intensive seminar that aims to improve each student’s ability to discover and reason about evidence through the medium of essays. Each section focuses on a particular theme or topic, described on the Expos Website. All sections give students practice in formulating questions, analyzing both primary and secondary sources and properly acknowledging them, supporting arguments with strong and detailed evidence, and shaping clear, lively essays. All sections emphasize revision.
MATH  MB;Introduction to Functions and Calculus II;Collins;Mathematics;2022 Spring;[];-  TBA;"Continued investigation of functions and differential calculus through modeling; an introduction to integration with applications; an introduction to differential equations. Solid preparation for Mathematics 1b."
LATIN  2 002;Introductory Latin 2;Livingston;Classics, The;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";Split Schedule;Latin 2 continues from Latin 1. Participants will continue to develop their ability to read Latin with increasing emphasis on classical texts.
SCAND  99A;Tutorial - Senior Year;Broome;Germanic Languages & Lit;2021 Fall;[];-  TBA;Open to concentrators writing an honors thesis under faculty supervision. Students are expected to enroll for the entire year.  Part one of a two part series.
PSY  980JS;But Why?: Ultimate Explanations for the Quirks of the Mind;Hooley;Psychology;2021 Fall;"[{""days"":""W""}]";6:00pm -  8:00pm;Social psychology has documented many surprising features of the human mind, providing robust evidence that people deceive themselves, are systematically overconfident, believe implausible things to avoid inconsistency, and so on. Explanations often focus on proximate psychological mechanisms (e.g., we avoid inconsistency because we find it uncomfortable). But behind every proximate mechanism is an ultimate explanation (why is inconsistency uncomfortable?)—why did evolution or learning lea
ESPP  90K;Applied Environmental Policy Analysis: Air Pollution, Solar Geoengineering and Environmental Justice;Keith;Envi Science & Public Policy;2021 Fall;"[{""days"":""T""}]";3:00pm -  5:15pm;What makes good public policy analysis? Can analytic tools such as cost-benefit analysis help resolve environmental policy disputes? What are the limits to such tools? This seminar aims to teach the basics of public policy analysis applied to environmental problems through two case studies: air pollution and solar geoengineering research. The impacts of air pollution and climate change are unequally distributed, with the worst harms often falling on the poor and powerless. Environmental advocate
FRSEMR  51E;The Story of the Alternating Sign Matrix Conjecture;Williams;Freshman Seminars;2022 Spring;"[{""days"":""M""}]";3:00pm -  5:45pm;This seminar is intended to illustrate how research in mathematics actually progresses, using recent examples from the field of algebraic combinatorics. We will learn about the story of the search for and discovery of a proof of a formula conjectured by Mills-Robbins- Rumsey in the early 1980's: the number of n x n alternating sign matrices. Alternating sign matrices are a curious family of mathematical objects, generalizing permutation matrices, which arise from an algorithm for evaluating
FRENCH  99A;Tutorial - Senior Year;Richman;Romance Languages & Lit;2021 Fall;[];-  TBA;Weekly individual instruction for students writing a senior thesis. Part one of a two part series.
GOV  93CJ;Criminal Justice Policy Practicum;Halen;Government;2021 Fall;"[{""days"":""T""}]";12:00pm -  2:45pm;This course provides students with the opportunity to do participatory, community-based policy research. The course will have three major components. Students will (1) learn about the policy-making process and how to do academic research on policy, (2) engage in public service research on juvenile justice and prison education, and (3) explore ways that remote technologies, especially virtual reality, can be used to provide incarcerated youth with more robust and consistent educational opportunit
RELIGION  99B;Tutorial - Senior Year;Lamberth;Religion, The Study of;2022 Spring;[];-  TBA;A required component of the senior year tutorial is a biweekly seminar, led by the Assistant Director of Undergraduate Studies. Covers research methods and strategies in thesis writing. Students must complete both terms of this course (parts A and B).
HAA  96A 001;Architecture Studio I: Transformations;Seibold;History of Art & Architecture;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";1:30pm -  4:30pm;"Architecture assembles multiple models, surfaces, and materials; it is not a single monolithic thing, rather it is comprised of disparate parts and organizational systems operating at different scales.  Design, the bringing together of these elements, requires sensitivity, registers scale, and renders perceptual effect.  This course is an introductory architectural design studio focused on building foundational architectural concepts and design methodologies studied through a process o"
GOV  94NA;Japanese Politics and Foreign Policy;Nakai;Government;2021 Fall;"[{""days"":""T""}]";9:45am -  11:45am;This research seminar explores the dynamics of Japanese international and domestic development from WWII to the present, and how Japan is currently adjusting its foreign policies to meet the challenges of the twenty-first century. Despite having the world’s third largest economy, Japan has been widely viewed as underperforming in world affairs. The central question is whether Japan will remain an “underperformer.” Topics include: prewar Japanese foreign policy, postwar relation
ECON  975B;Tutorial - Macroeconomics Theory Review;Bruich;Economics;2021 Fall;[];-  TBA;A thorough review of intermediate macroeconomics.  This is a junior tutorial.
SPANSH  10 006;Beginning Spanish I;Parra-Velasco;Romance Languages & Lit;2021 Fall;"[{""days"":""M""},{""days"":""T""},{""days"":""W""},{""days"":""Th""}]";9:00am -  10:15am;Spanish 10 is the first course in the Beginning Spanish sequence (SPAN 10-SPAN 11). This course is designed for students with little or no previous experience in Spanish. Through interactions with peers, instructors, and native Spanish-speakers around the world, students in this class discuss and analyze authentic multimodal texts (e.g., written, audio, audiovisual, visual) from various sources (e.g., social media, newspapers, museums). Through these interactions and ana
ENG-SCI  91R;Supervised Reading and Research;Kuang;Engineering Sciences;2022 Spring;[];-  TBA;Guided reading and research.
IGBO  AB;Elementary Igbo;Mugane;African & African Amer Studies;2022 Spring;[];-  TBA;A study of Igbo one of the three most widely spoken languages in Nigeria at the Elementary level (First year part 2). Contact hours supplemented by language digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. This course is offered only in the Spring.
PHYSICS  95;Topics in Current Research;Westervelt;Physics;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";Split Schedule;This tutorial is based on the Wednesday Night Seminars.  Each Wednesday, two Harvard faculty members introduce their research to interested students, including undergraduates enrolled in the course, as well as graduate students who would like to learn about the topics investigated.  The talks illustrate how research is done, and provide examples of projects graduate students might study if they join the group.  Before each seminar, the enrolled students read examples of previous w
HIST  92R;History Lab;Pizzorno;History;2022 Spring;[];-  TBA;History Lab offers History concentrators and other students a chance to spend a semester working with History faculty on faculty research projects. Outcomes will include familiarity with a range of digital tools for research and data visualization and insights on how to design and execute a major research project. Please consult the course’s Canvas site for details and a list of the projects offered this term.
