SHBT 200-Introduction to Sound, Speech, and Hearing 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a903fef79705120767e7cbd16c022924072a53b09556b24a1cc7a88e3ea388f1d3023413e4c6cffb33bd71043b951f72&ReportType=2&regl=en-US;5;3.80;5.40;Sunil Puria;SHBT 200;2019
PHIL 178Z-Inequality 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1ce9ec6d0f094e5576474f17d101b10a4df1b9a5cc52fd3c5215ce2b1e6845a9fe2c7d15bbbb6d99790cb62da9bf706f&ReportType=2&regl=en-US;28;4.77;5.14;Lucas Stanczyk;PHIL 178Z;2020
FRSEMR 24Q-Biology of Symbiosis: From the Deep-Sea to the Human Microbiome 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=73982a9ac93cb02c5aa4a2a03bf65076a68a573878dccfff566e307abd8042b567c31714ff3845fada9fa7a7fb7ff4c4&ReportType=2&regl=en-US;12;4.18;4.40;Colleen Cavanaugh;FRSEMR 24Q;2020
MUSIC 97L-Critical Listening 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a2f308a5a094e96b6e327d56d9fdf3790cc1c3781214298c707e688d73a6a824fdcd20dd2ac41f1bf090917aa238b55c&ReportType=2&regl=en-US;14;2.58;8.50;Vijay Iyer;MUSIC 97L;2019
BIOPHYS 242R-Special Topics in Biophysics 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b4bc86dbd408b102874f394f61783442658f127f83a6c15792b255a47674bca579bc331c2989509600143bad309e72eb&ReportType=2&regl=en-US;10;2.75;4.75;Tomas Kirchhausen;BIOPHYS 242R;2021
ECON 2725-Corporate Finance and Banking 1;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f6bb5913842db6a6bf0d41cb45fa26b653b10aeaaefbc8039f16c3635c329629a7ab8ec86d15c56a88d4da1036ba8aab&ReportType=2&regl=en-US;18;4.29;7.00;Samuel Hanson;ECON 2725;2019
MATH MB-Introduction to Functions and Calculus II 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=022e99bc589c8ff34401d728cfeab39149408930f017b90206ada74a0c1f141d9b1f0865dc85347aa466546d9d765060&ReportType=2&regl=en-US;114;3.63;8.12;Eriko Hironaka;MATH MB;2021
IMMUN 307QC-Cancer Immunology 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7d727e50d2f809b0cdfc52378ee6920035a4935cc6477286f287254ac20ea6721fe310926532c3e6b8711498c300e794&ReportType=2&regl=en-US;19;3.64;5.91;null;IMMUN 307QC;2020
MATH 114-Analysis of Function Spaces, Measure and Integration 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=20826282bdad7ffcbd8ba5240b0497bc45c96be485a8312a5c60c400845a6a9da50997c7e1b1d9bb53e34e87755d54dc&ReportType=2&regl=en-US;35;3.79;9.75;Christian Brennecke;MATH 114;2019
APCOMP 295-Topics in Applied Computation: Advanced Practical Data Science 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c69a41f3039b269fe6b90ffb2ad69639cb6a61a04e41274c619a73746aa0afbfbca679a26f1c56ed15213334aafdf182&ReportType=2&regl=en-US;50;4.45;9.19;Pavlos Protopapas;APCOMP 295;2020
SOCIOL 1113-Latinx Identity and Mobilization 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bdb6569e180022cbf7c8a578e1dcda81f1702f04e152a4d8ee746d331ce424b00d1656d2ec1ccf52f081424057670d9c&ReportType=2&regl=en-US;7;3.50;6.75;Cristina Lacomba;SOCIOL 1113;2019
STAT 131-Time Series & Prediction 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0efe91b932115d7c48d6fbf1ab9e0a5b863d8fc007bfb131ab186feee21d26dcf226f782364ef58c158b90cd371ae57c&ReportType=2&regl=en-US;50;3.20;7.90;Tracy Ke;STAT 131;2021
BIOPHYS 242R-Special Topics in Biophysics 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c0424221e94e52a7f21c53516603f370a6d5d6f59738588071fb3c81feacb0c9f1b2b52606aaca7a17451297381bc73d&ReportType=2&regl=en-US;10;2.75;4.75;Michael Do;BIOPHYS 242R;2021
MUSIC 15A-Harvard Glee Club 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=473384f14555572b5f7634f6055957d9ce95aca545f6e67c2337197788a0c84155dd6502d3bb0ccc2920b168d51f096a&ReportType=2&regl=en-US;22;4.72;1.42;Andrew Clark;MUSIC 15A;2019
GOV 2148-Civil Society, West and East 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b3be30544d7e97640df04247f13deef0d2423fef072ec308f95823d0136febaddcd1325c678b378ba8c73aefd1a4127b&ReportType=2&regl=en-US;9;4.80;11.00;Grzegorz Ekiert;GOV 2148;2019
