course_id;course_name;professor;department;semester;days;time;description
CLS-STDY  148;Ancient Slavery;Morgan;Classics, The;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;This course shines a spotlight on the enslaved populations of Greece and Rome—their thoughts and experiences, hopes and fears. The course draws on a wide range of ancient sources, both textual and visual, in order to reconstruct the lives of slaves in antiquity. We will consider how the ancient Greeks and Romans justified and normalized the institution of slavery in their literature, philosophy, art, and rhetoric. We will also explore the dark legacy of ancient slavery in modern times, and
ANTHRO 1716;Neoliberalism: Empire, Extraction, and the Making of the Global Social Order;Keshavjee;Anthropology;2022 Spring;"[{""days"":""W""}]";12:00pm -  2:45pm;This course is designed primarily for advanced undergraduates and graduate students who are interested in the relationship between neoliberalism, the global social order, and inequities in health and wellbeing. It examines neoliberalism as a political ideology that, paradoxically, both sustains and masks deeply extractive social relations of production whose harms and benefits are unevenly distributed across time, place, and communities. The course is designed to enable students to develop the s
AFRAMER  115X;African Literature Now: Themes, Contexts, and Directions;Ogene;African & African Amer Studies;2021 Fall;"[{""days"":""M""},{""days"":""F""}]";12:45pm -  2:45pm;This course is an introduction to major themes, contexts, and directions in contemporary African writing. It will examine the place of contemporary African literature within the global literary marketplace, and within the broader frames of the global contemporary. While paying attention to regional, historical, and linguistic diversities, the texts are also inclusive in the range of questions they raise and address, including but not limited to the lived experiences of “Afrindian” co
MBB  980S;Cognitive Neuroscience of Meditation;Lazar;Mind, Brain & Behavior;2022 Spring;"[{""days"":""M""}]";6:00pm -  8:00pm;Buddhist philosophy describes a model of how the mind works, as well as a method, mindfulness meditation, that can be used as a tool to transform consciousness and reduce mental distress. Neuroscientists have begun to study the impact of meditation on brain structure and function, often using Buddhist philosophy to guide their hypotheses. We will review and discuss how the science relates to Buddhist philosophy, using the four foundations of mindfulness as the primary framework. We will als
CHEM  110;The Chemistry and Biology of Therapeutics;Liau;Chemistry & Chemical Biology;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";10:30am -  11:45am;This course will cover the chemical and biological principles that govern small molecule therapeutics.  We will discuss small molecule conformational analysis, chemical forces that drive small molecule-protein interactions, and small molecule binding to proteins to affect disease states.  We will also discuss how protein targets are identified and the frontiers of modern small molecule therapeutics.  Protein targets include, but are not limited to kinases, proteases, GTPases, scaf
ECON 1432;Economics of European Integrations;Kotz;Economics;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:15am;The aim of the course is to give students familiarity with a broad range of European policy issues: integration of markets (for goods, services, and labor), monetary union (ECB) and its consequences for fiscal policy, financial sector regulation as well as supervision. It is offered for students who would like to employ the tools they have learned in principles of economics and introductory micro and macro courses on real world cases. This implies to write and present a paper (mandatory writing
E-PSCI  138;Mysteries of Climate Dynamics;Farrell;Earth & Planetary Sciences;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;We will study the evidence in the climate record for dramatic changes in the climate system and delve into how these challenge our understanding of climate dynamics.  Case studies will include the dim early sun paradox, the Snowball Earth, Equable Climates, Glacial/Interglacial and Stadial/Interstadial transitions and ENSO.
ECON 1425;Political Economics;Shleifer;Economics;2022 Spring;"[{""days"":""Th""}]";12:00pm -  2:45pm;Discusses several research areas in political economy, including the origins of the state, comparative political systems, theories of economic reform, fiscal problems in democracies, rule of law, privatization, and regulation.
ARABIC  131A 001;Upper-Level Modern Arabic l;Madi;Near Eastern Languages & Civ;2021 Fall;"[{""days"":""M""},{""days"":""T""},{""days"":""W""},{""days"":""Th""}]";10:30am -  11:45am;Reading and discussion of selections from Arabic newspapers and journals on contemporary political, social, religious, and cultural issues in the Arab world. Emphasis on developing advanced reading and speaking skills, with some attention to writing and listening comprehension.
GERMAN  171;Just Law? Truth, Trial & Error in German Literature;Schwakopf;Germanic Languages & Lit;2022 Spring;"[{""days"":""T""}]";9:45am -  11:45am;This course examines the intersections of law and literature from both a historical and a theoretical point of view. We will engage with literary and philosophical texts written by German[1]speaking authors that have become central for the understanding of this interdisciplinary field of study. With the help of readings spanning the time between the 18th and the 21st centuries, we will reflect on the manifold representations of questions of law in literature. How do literary texts articulate the
